k,trial,fraction_moved,n_physical,num_keys
1,0,0.236605,8,200000
1,1,0.236060,8,200000
1,2,0.235645,8,200000
1,3,0.235055,8,200000
1,4,0.234710,8,200000
2,0,0.151965,8,200000
2,1,0.153165,8,200000
2,2,0.152860,8,200000
2,3,0.151510,8,200000
2,4,0.154550,8,200000
4,0,0.174480,8,200000
4,1,0.175140,8,200000
4,2,0.175625,8,200000
4,3,0.175120,8,200000
4,4,0.174300,8,200000
8,0,0.159015,8,200000
8,1,0.160085,8,200000
8,2,0.158935,8,200000
8,3,0.160740,8,200000
8,4,0.161120,8,200000
16,0,0.163485,8,200000
16,1,0.162795,8,200000
16,2,0.162590,8,200000
16,3,0.163630,8,200000
16,4,0.162925,8,200000
32,0,0.149805,8,200000
32,1,0.148230,8,200000
32,2,0.150080,8,200000
32,3,0.149695,8,200000
32,4,0.151770,8,200000
64,0,0.136970,8,200000
64,1,0.135625,8,200000
64,2,0.136015,8,200000
64,3,0.135785,8,200000
64,4,0.137575,8,200000
128,0,0.134965,8,200000
128,1,0.136045,8,200000
128,2,0.134600,8,200000
128,3,0.135530,8,200000
128,4,0.135665,8,200000
